REF_DATE,GEO,DGUID,Air passenger traffic,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,"Winnipeg/James Armstrong Richardson International, Manitoba",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779630,163.1,4149531,,,,0
2018,"Winnipeg/James Armstrong Richardson International, Manitoba",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779630,163.1,4406483,,,,0
2019,"Winnipeg/James Armstrong Richardson International, Manitoba",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779630,163.1,4395426,,,,0
2020,"Winnipeg/James Armstrong Richardson International, Manitoba",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779630,163.1,1235260,,,,0
2021,"Winnipeg/James Armstrong Richardson International, Manitoba",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779630,163.1,1164252,,,,0
2017,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector,Number,223,units,0,v65779634,163.5,3544381,,,,0
2018,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector,Number,223,units,0,v65779634,163.5,3775086,,,,0
2019,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector,Number,223,units,0,v65779634,163.5,3729925,,,,0
2020,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector,Number,223,units,0,v65779634,163.5,967007,,,,0
2021,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector,Number,223,units,0,v65779634,163.5,1136066,,,,0
2017,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector,Number,223,units,0,v65779635,163.6,430235,,,,0
2018,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector,Number,223,units,0,v65779635,163.6,455202,,,,0
2019,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector,Number,223,units,0,v65779635,163.6,479541,,,,0
2020,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector,Number,223,units,0,v65779635,163.6,133523,,,,0
2021,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector,Number,223,units,0,v65779635,163.6,21388,,,,0
2017,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector,Number,223,units,0,v65779636,163.7,174915,,,,0
2018,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector,Number,223,units,0,v65779636,163.7,176195,,,,0
2019,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector,Number,223,units,0,v65779636,163.7,185960,,,,0
2020,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector,Number,223,units,0,v65779636,163.7,134730,,,,0
2021,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector,Number,223,units,0,v65779636,163.7,6798,,,,0
2017,"Calgary International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778574,13.1,15582707,,,,0
2018,"Calgary International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778574,13.1,16762514,,,,0
2019,"Calgary International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778574,13.1,17203118,,,,0
2020,"Calgary International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778574,13.1,5321886,,,,0
2021,"Calgary International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778574,13.1,5909265,,,,0
2017,"Calgary International, Alberta",,Domestic sector,Number,223,units,0,v65778578,13.5,10832159,,,,0
2018,"Calgary International, Alberta",,Domestic sector,Number,223,units,0,v65778578,13.5,11791293,,,,0
2019,"Calgary International, Alberta",,Domestic sector,Number,223,units,0,v65778578,13.5,11858566,,,,0
2020,"Calgary International, Alberta",,Domestic sector,Number,223,units,0,v65778578,13.5,4013536,,,,0
2021,"Calgary International, Alberta",,Domestic sector,Number,223,units,0,v65778578,13.5,4973413,,,,0
2017,"Calgary International, Alberta",,Transborder sector,Number,223,units,0,v65778579,13.6,3080246,,,,0
2018,"Calgary International, Alberta",,Transborder sector,Number,223,units,0,v65778579,13.6,3258940,,,,0
2019,"Calgary International, Alberta",,Transborder sector,Number,223,units,0,v65778579,13.6,3472175,,,,0
2020,"Calgary International, Alberta",,Transborder sector,Number,223,units,0,v65778579,13.6,805475,,,,0
2021,"Calgary International, Alberta",,Transborder sector,Number,223,units,0,v65778579,13.6,587907,,,,0
2017,"Calgary International, Alberta",,Other International sector,Number,223,units,0,v65778580,13.7,1670302,,,,0
2018,"Calgary International, Alberta",,Other International sector,Number,223,units,0,v65778580,13.7,1712281,,,,0
2019,"Calgary International, Alberta",,Other International sector,Number,223,units,0,v65778580,13.7,1872377,,,,0
2020,"Calgary International, Alberta",,Other International sector,Number,223,units,0,v65778580,13.7,502875,,,,0
